comparison,interpretation,keyword,period_a,period_b,count_a,count_b,log_odds_z_b_vs_a,direction,abs_log_odds_z,rank_abs_z
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,코로나,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,64,496066,398.7676211165125,moon_post_covid_2020_2022,398.7676211165125,1.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,확진자,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,302,92926,171.25113286492345,moon_post_covid_2020_2022,171.25113286492345,2.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,방역,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,1751,82551,157.29566059830498,moon_post_covid_2020_2022,157.29566059830498,3.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,접종,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,1136,73964,150.13727631385558,moon_post_covid_2020_2022,150.13727631385558,4.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,감염병,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,1436,20582,73.11224354144434,moon_post_covid_2020_2022,73.11224354144434,5.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,팬데믹,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,7,16078,71.47305033915286,moon_post_covid_2020_2022,71.47305033915286,6.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,임금,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,56320,22350,-70.31863616144301,moon_pre_covid_2017_2019,70.31863616144301,7.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,뉴딜,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,2036,20481,69.75404661196997,moon_post_covid_2020_2022,69.75404661196997,8.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,자사고,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,23059,4060,-66.34086080737339,moon_pre_covid_2017_2019,66.34086080737339,9.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,일자리,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,107638,62843,-63.525282092722136,moon_pre_covid_2017_2019,63.525282092722136,10.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,최저임금,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,23690,5495,-61.40851750595655,moon_pre_covid_2017_2019,61.40851750595655,11.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,디지털,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,23528,52947,60.705918124408825,moon_post_covid_2020_2022,60.705918124408825,12.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,개혁,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,77260,41573,-60.46116056502541,moon_pre_covid_2017_2019,60.46116056502541,13.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,방북,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,13057,694,-60.15500133348584,moon_pre_covid_2017_2019,60.15500133348584,14.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,김성태,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,12471,965,-56.7374377654042,moon_pre_covid_2017_2019,56.7374377654042,15.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,남북정상회담,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,13435,1455,-56.23201481841863,moon_pre_covid_2017_2019,56.23201481841863,16.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,감염자,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,316,10753,56.06916411633164,moon_post_covid_2020_2022,56.06916411633164,17.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,재택근무,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,382,10410,54.58504840543253,moon_post_covid_2020_2022,54.58504840543253,18.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,유행,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,4424,18927,54.08705142811183,moon_post_covid_2020_2022,54.08705142811183,19.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,등교,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,667,10937,53.990627355533626,moon_post_covid_2020_2022,53.990627355533626,20.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,비대면,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,370,10067,53.673540229416055,moon_post_covid_2020_2022,53.673540229416055,21.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,플랫폼,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,25564,51557,53.37281885242581,moon_post_covid_2020_2022,53.37281885242581,22.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,재난지원금,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,32,8436,51.52179439810124,moon_post_covid_2020_2022,51.52179439810124,23.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,기무사,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,9134,354,-51.37099224097343,moon_pre_covid_2017_2019,51.37099224097343,24.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,자가격리,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,9,8234,51.09721071908582,moon_post_covid_2020_2022,51.09721071908582,25.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,월성,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,1982,12964,51.08088689370312,moon_post_covid_2020_2022,51.08088689370312,26.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,김영철,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,9950,861,-49.99502394200625,moon_pre_covid_2017_2019,49.99502394200625,27.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,주자,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,5429,18787,48.95977081431284,moon_post_covid_2020_2022,48.95977081431284,28.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,곽수종,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,7257,8,-48.31124597635955,moon_pre_covid_2017_2019,48.31124597635955,29.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,우한,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,124,7536,47.82132167045634,moon_post_covid_2020_2022,47.82132167045634,30.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,화상,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,2010,11792,47.37354843149066,moon_post_covid_2020_2022,47.37354843149066,31.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,집단감염,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,4,6861,46.6762101834644,moon_post_covid_2020_2022,46.6762101834644,32.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,델타,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,125,6989,45.95823627345205,moon_post_covid_2020_2022,45.95823627345205,33.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,혁신성장,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,10239,1560,-45.8809043879408,moon_pre_covid_2017_2019,45.8809043879408,34.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,류재복,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,42,6709,45.78436891919415,moon_post_covid_2020_2022,45.78436891919415,35.0
